"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","941","Проверка удаления товара из корзины","Sauce Demo ITM5","2026-06-04","passed","2026-06-04","tests.CartTest","Firefox","tests.CartTest","removeProductFromCart"
"","1723","Проверка добавления товара в корзину","Sauce Demo ITM5","2026-06-04","passed","2026-06-04","tests.CartTest","Firefox","tests.CartTest","addProductToCart"
"","2130","Проверка входа в систему с позитивными кредами","Sauce Demo ITM5","2026-06-04","passed","2026-06-04","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"","511","Проверка негативных сценариев логина","Sauce Demo ITM5","2026-06-04","passed","2026-06-04","tests.LoginTest","Chrome","tests.LoginTest","negativeLogin"
"","470","Проверка негативных сценариев логина","Sauce Demo ITM5","2026-06-04","passed","2026-06-04","tests.LoginTest","Chrome","tests.LoginTest","negativeLogin"
"","904","Проверка работы кнопки перехода к оформлению товара из корзины ","Sauce Demo ITM5","2026-06-04","passed","2026-06-04","tests.CartTest","Firefox","tests.CartTest","checkButtonCheckout"
"","864","Проверка, что после добавления товара в корзину, она не пустая","Sauce Demo ITM5","2026-06-04","passed","2026-06-04","tests.CartTest","Firefox","tests.CartTest","cartIsNotEmptyAfterAddProduct"
"","1229","Проверка цены товара в корзине","Sauce Demo ITM5","2026-06-04","passed","2026-06-04","tests.CartTest","Firefox","tests.CartTest","productPriceInCartIsCorrect"
"","871","Проверка работы кнопки возврата из корзины на страницу товаров","Sauce Demo ITM5","2026-06-04","passed","2026-06-04","tests.CartTest","Firefox","tests.CartTest","checkButtonContinueShopping"
"","483","Проверка негативных сценариев логина","Sauce Demo ITM5","2026-06-04","passed","2026-06-04","tests.LoginTest","Chrome","tests.LoginTest","negativeLogin"
"","1997","Проверка локаторов","Sauce Demo ITM5","2026-06-04","passed","2026-06-04","tests.LocatorTest","Firefox","tests.LocatorTest","checkLocator"
